FADOB PHARMACY & STORES
Stock Status
From 1-1-2026 to 23-2-2026
All Items,All MC
Item Details,Parent Group,Unit,Op.Qty,Op.Amt.,Purc.,Amt.In,Qty In(Others),Amt.In(Others),Sale,Amt.Out,Qty.Out (Others),Amt.Out(Others),Cl. Qty,Cl. Amt.
"LOSARTAN 100MG POCCO BLISTER",PHARMACY,Pcs.,-3,"-3,300.00",26,"21,050.00",0,0.00,5,"6,500.00",0,0.00,18,"14,601.52"
"LOSARTAN 25MG LIFEBACK BLISTER",PHARMACY,Pcs.,38,"20,063.84",0,0.00,0,0.00,14,"10,700.00",0,0.00,24,"12,671.88"
"LOSARTAN 25MG POCCO BLISTER",PHARMACY,Pcs.,4,"1,760.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"1,760.00"
"LOSARTAN 25MG TAB X 28 TEVA BLISTER",PHARMACY,Pcs.,12,"14,627.82",0,0.00,0,0.00,1,"1,900.00",0,0.00,11,"13,408.84"
"LOSARTAN 50MG ANTILA/ZMC BLISTER",PHARMACY,Pcs.,66,"33,000.00",0,0.00,0,0.00,4,"2,800.00",0,0.00,62,"31,000.00"
"LOSARTAN 50MG BLISTER ANYITEX",PHARMACY,Pcs.,0,0.00,20,"10,000.00",0,0.00,2,"1,400.00",0,0.00,18,"9,000.00"
"LOSARTAN 50MG BLISTER LIFEBACK",PHARMACY,Pcs.,115,"65,166.53",30,"17,000.00",0,0.00,84,"67,200.00",0,0.00,61,"34,566.56"
"LOSARTAN 50MG POCCO BLISTER",PHARMACY,Pcs.,12,"7,080.00",40,"23,300.00",0,0.00,32,"25,600.00",0,0.00,20,"11,618.18"
"LOSARTAN(TEVA) TABS 50MG X 28 BLISTER",PHARMACY,Pcs.,8,"11,789.11",30,"51,950.00",0,0.00,6,"13,800.00",0,0.00,32,"54,809.41"
"LOTEXIN SOFTGEL CAP",PHARMACY,Pack.,3,"2,850.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"2,850.00"
"LOTRIAL ENALAPRIL 10MG",PHARMACY,Pcs.,9,"8,600.00",0,0.00,0,0.00,0,0.00,0,0.00,9,"8,600.00"
"LOXAGYL SUSP 125MG/5ML 100ML BOTTLE",PHARMACY,Pcs.,24,"12,481.08",20,"10,400.00",0,0.00,19,"15,200.00",0,0.00,25,"13,000.38"
"LOXAGYL TABS 200MG X 100 BLISTER",PHARMACY,Pcs.,173,"16,155.32",0,0.00,0,0.00,11,"2,200.00",0,0.00,162,"15,128.11"
"LOXAGYL TABS 400MG X 100 BLISTER",PHARMACY,Pcs.,176,"26,179.62",220,"32,600.00",0,0.00,190,"57,000.00",0,0.00,206,"30,880.84"
"LOZATAN H TABS  X 30 BLISTER",PHARMACY,Pcs.,4,"6,059.35",12,"18,635.00",0,0.00,10,"21,100.00",0,0.00,6,"9,402.81"
"LOZATAN TABS 25MG X 30 BLISTER",PHARMACY,Pcs.,-2,"-3,000.00",0,0.00,0,0.00,1,"1,500.00",0,0.00,-3,"-4,500.00"
"LOZATAN TABS 50MG X 30 BLISTER",PHARMACY,Pcs.,-3,"-5,455.00",6,"9,180.00",0,0.00,2,"4,200.00",0,0.00,1,"1,530.00"
"LUBREX EYEDROP CARBOXYMETHYLCELLULOSE",PHARMACY,Pcs.,1,"2,680.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,680.00"
"LUBRICA GEL TUBE",PHARMACY,Pcs.,8,"17,817.96",12,"27,600.00",0,0.00,3,"9,600.00",0,0.00,17,"38,605.26"
"LUCOZADE BOOST 500ML BOTTLE",DRINKS AND BEVERAGES,Pcs.,12,"11,190.30",48,"44,000.00",0,0.00,56,"67,200.00",0,0.00,4,"3,666.85"
"LUCOZADE BOOST CAN",DRINKS AND BEVERAGES,Pcs.,9,"3,600.00",0,0.00,0,0.00,0,0.00,0,0.00,9,"3,600.00"
"LUCOZADE ENERGY 1L X 1 BOTTLE",DRINKS AND BEVERAGES,Pcs.,4,"10,666.66",6,"16,000.00",0,0.00,10,"32,000.00",0,0.00,0,0.00
"LUCOZADE ENERGY 380ML BOTTLE",DRINKS AND BEVERAGES,Pcs.,5,"4,741.98",24,"23,000.00",0,0.00,13,"15,600.00",0,0.00,16,"15,323.97"
"LUMARTEM TABS 20/120 X 18 PACK",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"LUMARTEM X 24 TABS ADULT PACK",PHARMACY,Pcs.,-26,"-16,789.50",0,0.00,0,0.00,0,0.00,0,0.00,-26,"-16,789.50"
"LUMARTEM X 6 TABS PACK",PHARMACY,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"LUMETHER FORTE TABS  X 6 PACK",PHARMACY,Pcs.,-6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-6,0.00
"LUMIHALE+",PHARMACY,Pcs.,15,"7,500.00",0,0.00,0,0.00,0,0.00,0,0.00,15,"7,500.00"
"LUTER 80/480",PHARMACY,Pcs.,8,"9,320.00",0,0.00,0,0.00,0,0.00,0,0.00,8,"9,320.00"
"LUX SOAP 75G",COSMETICS,Pcs.,6,"4,500.00",24,"18,000.00",0,0.00,13,"11,700.00",0,0.00,17,"12,750.00"
"LYCOFER CAP PACK",PHARMACY,Pcs.,7,"16,993.00",0,0.00,0,0.00,3,"10,200.00",0,0.00,4,"9,710.29"
"LYCOSET CAP PACK",PHARMACY,Pcs.,1,"4,700.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,700.00"
"LYCOSET SYR 200ML BOTTLE",PHARMACY,Pcs.,2,"3,812.00",0,0.00,0,0.00,0,0.00,0,0.00,2,"3,812.00"
"LYNSUNATE 80/480MG",PHARMACY,Pcs.,20,"41,000.00",0,0.00,0,0.00,0,0.00,0,0.00,20,"41,000.00"
"LYNSUNATE SUSPENSION",PHARMACY,Pcs.,1,"2,225.66",0,0.00,0,0.00,0,0.00,0,0.00,1,"2,225.66"
"LYRICA CAPS 150MG X 28 BLISTER",PHARMACY,Pcs.,3,"11,492.70",0,0.00,0,0.00,0,0.00,0,0.00,3,"11,492.70"
"LYRICA CAPS 75MG X 28 BLISTER",PHARMACY,Pcs.,-2,"-30,400.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-30,400.00"
"M & M CHOCOLATE 45G SACHET",FOOD ITEMS,Pcs.,-1,"-1,300.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-1,300.00"
"M2-TONE X 20 TABS PACK",PHARMACY,Pcs.,6,"31,069.36",0,0.00,0,0.00,3,"21,600.00",0,0.00,3,"15,534.68"
"MACA 500MG x JAR N/F",PHARMACY,Pcs.,3,"47,800.00",0,0.00,0,0.00,1,"22,000.00",0,0.00,2,"31,866.67"
"MACA ROOT 2000MG PASSENT PER TAB",PHARMACY,Pcs.,-38,"-31,000.00",0,0.00,0,0.00,0,0.00,0,0.00,-38,"-31,000.00"
"MACLEANS HERBAL TUBE",HOUSEHOLD ITEMS,Pcs.,8,"2,800.00",0,0.00,0,0.00,0,0.00,0,0.00,8,"2,800.00"
"MAGIC SHAVING CREAM 170G JAR",HOUSEHOLD ITEMS,Pcs.,4,"25,380.94",0,0.00,0,0.00,0,0.00,0,0.00,4,"25,380.94"
"MAGIC SHAVING POWDER 142G JAR",HOUSEHOLD ITEMS,Pcs.,7,"112,062.28",0,0.00,0,0.00,2,"54,000.00",0,0.00,5,"80,044.48"
"MAGNAVIT CAP SACHET",PHARMACY,Pcs.,2,700.00,0,0.00,0,0.00,0,0.00,0,0.00,2,700.00
"MAGNESIUM 250MG X100 HEALTHPATH",PHARMACY,Pcs.,7,"41,144.44",0,0.00,0,0.00,0,0.00,0,0.00,7,"41,144.44"
"MAGNESIUM 250MG X100 N/F",PHARMACY,Pcs.,0,0.00,2,"19,390.00",0,0.00,1,"13,000.00",0,0.00,1,"9,695.00"
"MAGNESIUM 500MG X100 HEALTHPATH",System,Pcs.,0,0.00,2,"19,190.00",0,0.00,0,0.00,0,0.00,2,"19,190.00"
"MAGNESIUM 500MG X100 N/F JAR",PHARMACY,Pcs.,2,"22,705.00",0,0.00,0,0.00,2,"31,000.00",0,0.00,0,0.00
"MAGNESIUM GLYCINATE 360MG NORITE X90",PHARMACY,Pcs.,0,0.00,3,"56,700.00",0,0.00,2,"51,000.00",0,0.00,1,"18,900.00"
"MAGNESIUM GLYCINATE 400MG MEDPATH",PHARMACY,Pcs.,0,0.00,7,"72,000.00",0,0.00,4,"66,000.00",0,0.00,3,"32,375.00"
"MAGNESIUM GLYCINATE 400MG N/F",PHARMACY,Pack.,0,0.00,4,"104,000.00",0,0.00,3,"105,300.00",0,0.00,1,"26,000.00"
"MALARIA TEST KIT HEALTH CHECK",PHARMACY,Pcs.,2,"3,500.00",0,0.00,0,0.00,2,"4,800.00",0,0.00,0,0.00
"MALDOX  TABS X 3 PACK",PHARMACY,Pcs.,29,"15,856.55",0,0.00,0,0.00,5,"3,500.00",0,0.00,24,"13,122.65"
"MALDOX DISPERSIBLE X3TABS",PHARMACY,Pcs.,0,0.00,10,"4,300.00",0,0.00,2,"1,200.00",0,0.00,8,"3,440.00"
"MALDOX SUSP BOTTLE",PHARMACY,Pcs.,9,"7,275.33",0,0.00,0,0.00,0,0.00,0,0.00,9,"7,275.33"
"MALMORAL PACK CHYMORAL",PHARMACY,Pcs.,7,"5,250.00",0,0.00,0,0.00,7,"8,400.00",0,0.00,0,0.00
"MALTA GUINESS 330ML CAN",DRINKS AND BEVERAGES,Pcs.,25,"15,000.00",0,0.00,0,0.00,20,"15,000.00",0,0.00,5,"3,000.00"
"MALTESERS X 1 SACHET",CHOCOLATES,Pcs.,28,"30,141.86",75,"81,000.00",0,0.00,26,"36,400.00",0,0.00,77,"83,098.78"
"MALTINA CAN CAN",DRINKS AND BEVERAGES,Pcs.,-7,"-1,700.00",0,0.00,0,0.00,0,0.00,0,0.00,-7,"-1,700.00"
"MALUTHER 80/480 SOFTGEL PACK",PHARMACY,Pcs.,23,"32,966.70",30,"42,000.00",0,0.00,28,"70,000.00",0,0.00,25,"35,171.97"
"MAMALAIT 250MG JAR",PHARMACY,Pcs.,1,"4,071.25",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,071.25"
"MAN-G TABS 100MG PACK",PHARMACY,Pcs.,35,"6,650.00",36,"6,840.00",0,0.00,37,"18,500.00",0,0.00,34,"6,460.00"
"MANIX X 20 CAPS PACK",PHARMACY,Pcs.,8,"160,763.26",0,0.00,0,0.00,0,0.00,0,0.00,8,"160,763.26"
"MANXTRA 10MG",PHARMACY,Pcs.,1,750.00,0,0.00,0,0.00,0,0.00,0,0.00,1,750.00
"MAPIBU CAP BLISTER",PHARMACY,Pcs.,5,"1,000.00",0,0.00,0,0.00,0,0.00,0,0.00,5,"1,000.00"
"MARCAT 80/480 TAB",PHARMACY,Pcs.,0,0.00,50,"30,000.00",0,0.00,18,"17,200.00",0,0.00,32,"19,200.00"
"MARCDERM CREAM",PHARMACY,Pcs.,10,"9,500.00",0,0.00,0,0.00,6,"9,000.00",0,0.00,4,"3,800.00"
"MARCFIX 325MG CAP PACK",System,Pcs.,-4,"-22,454.00",0,0.00,0,0.00,0,0.00,0,0.00,-4,"-22,454.00"
"MARCFIX SUSP 60ML BOTTLE",PHARMACY,Pcs.,16,"48,000.00",0,0.00,0,0.00,0,0.00,0,0.00,16,"48,000.00"
"MARCGESIC TABLET SACHET",PHARMACY,Pcs.,31,"13,925.98",80,"36,700.00",0,0.00,52,"52,000.00",0,0.00,59,"27,141.87"
"MARCGLOBIN TONIC 200ML",PHARMACY,Pcs.,0,0.00,2,"6,800.00",0,0.00,0,0.00,0,0.00,2,"6,800.00"
"MARCHEAT RUB CREAM TUBE",PHARMACY,Pcs.,5,"4,938.12",0,0.00,0,0.00,3,"4,200.00",0,0.00,2,"1,975.25"
"MARCIL SUSP 200ML",PHARMACY,Pcs.,0,0.00,2,"2,400.00",0,0.00,0,0.00,0,0.00,2,"2,400.00"
"MARCNOL 10/5MG BLISTER",PHARMACY,Pcs.,10,"11,410.83",6,"6,800.00",0,0.00,1,"1,600.00",0,0.00,15,"17,072.65"
"MARCOBREX DHA SUSP",PHARMACY,Pcs.,-20,"-30,000.00",20,"67,000.00",0,0.00,9,"41,800.00",0,0.00,-9,"-31,400.00"
"MARCSON DIAPER CREAM",PHARMACY,Pack.,-4,"-8,800.00",0,0.00,0,0.00,0,0.00,0,0.00,-4,"-8,800.00"
"MARIA'S SWEDISH BITTERS 500ML",PHARMACY,Pcs.,1,"3,700.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"3,700.00"
"MARS CHOCOLATE X 52 PACK",CHOCOLATES,Pcs.,39,"35,078.17",48,"44,000.00",0,0.00,16,"19,200.00",0,0.00,71,"64,643.02"
"MASCULAN LUB GEL STRAWBERRY 75M",PHARMACY,Pcs.,2,"8,788.40",0,0.00,0,0.00,0,0.00,0,0.00,2,"8,788.40"
"MASCULAN LUBRICANT GEL BOTTLE",PHARMACY,Pcs.,1,"4,700.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"4,700.00"
"MATADOR PERFUME",COSMETICS,Pcs.,-1,"-3,500.00",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-3,500.00"
"MAXI TEARS EYEDROP",PHARMACY,Pcs.,1,"2,500.00",10,"25,000.00",0,0.00,2,"7,000.00",0,0.00,9,"22,500.00"
"MAXIDEX EYE DROPS 0.1% 5ML BOTTLE",System,Pcs.,1,"3,700.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"3,700.00"
"MAXIQUINE SYR 60ML/5ML BOTTLE",PHARMACY,Pcs.,15,"10,388.96",10,"6,850.00",0,0.00,7,"7,000.00",0,0.00,18,"12,390.76"
"MAXIQUINE TAB   X 10 BLISTER",PHARMACY,Pcs.,18,"6,941.97",20,"7,700.00",0,0.00,15,"9,000.00",0,0.00,23,"8,861.04"
"MAXIRON CAP PACK",PHARMACY,Pack.,4,"2,828.58",0,0.00,0,0.00,0,0.00,0,0.00,4,"2,828.58"
"MAXITROL EYE DROPS  5ML BOTTLE",PHARMACY,Pcs.,6,"28,848.64",0,0.00,0,0.00,2,"14,000.00",0,0.00,4,"19,232.42"
"MAXITROL EYE OINTMENT  X 1 TUBE",PHARMACY,Pcs.,3,"14,357.38",2,"9,630.00",0,0.00,1,"6,800.00",0,0.00,4,"19,189.90"
"MAXIVISION  X120 CAPLET JAR",PHARMACY,Pcs.,1,"13,250.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"13,250.00"
"MAXIVISION X30 CAPS JAR",System,Pcs.,2,"19,430.40",0,0.00,0,0.00,0,0.00,0,0.00,2,"19,430.40"
"MAXMORAL TAB PACK",PHARMACY,Pcs.,-11,"-8,900.00",10,"7,500.00",0,0.00,0,0.00,0,0.00,-1,-750.00
"MAXOLON * 42 JAR",PHARMACY,Pcs.,-2,"-2,000.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-2,000.00"
"MAYSEDYL EXPECTORANT SYR",PHARMACY,Pcs.,-1,"-1,500.00",0,0.00,0,0.00,4,"6,000.00",0,0.00,-5,"-7,500.00"
"MEBO OINT. 15G",PHARMACY,Pcs.,1,"5,350.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"5,350.00"
"MECONERV FORTE X 30 CAPS SACHECT",PHARMACY,Pcs.,12,"27,666.59",6,"14,484.00",0,0.00,9,"28,800.00",0,0.00,9,"21,400.64"
"MECTIZAN (IVERMECTIN) TABS 3MG PCS",System,Pcs.,447,"4,648.80",0,0.00,0,0.00,20,"8,000.00",0,0.00,427,"4,440.80"
"MEDICA LOZENGES  X 36 BLISTER",System,Pcs.,39,"35,663.48",0,0.00,0,0.00,0,0.00,0,0.00,39,"35,663.48"
"MEDICATED DUSTING POWDER 250G CAN",HOUSEHOLD ITEMS,Pcs.,7,"10,090.61",6,"9,000.00",0,0.00,5,"10,000.00",0,0.00,8,"11,748.06"
"MEDICATED DUSTING POWDER 80MG CAN",System,Pcs.,10,"7,500.00",0,0.00,0,0.00,7,"8,400.00",0,0.00,3,"2,250.00"
"MEDIK - 55 TABS  X 20 SACHET",PHARMACY,Pcs.,37,"17,301.81",0,0.00,0,0.00,10,"6,500.00",0,0.00,27,"12,625.65"
"MEDITROL CAPS 0.25 MCG X 30 PACK",System,Pcs.,3,"29,570.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"29,570.00"
"MEDMORAL TABS 5000IU X30 PACK",PHARMACY,Pcs.,-5,"-5,200.00",10,"7,800.00",0,0.00,5,"6,000.00",0,0.00,0,0.00
"MEDRAX TABS 10MG X10 BLISTER",System,Pcs.,21,"2,247.45",0,0.00,0,0.00,0,0.00,0,0.00,21,"2,247.45"
"MEFENAMIC ACID 500MG (SILAXIN)",PHARMACY,Pcs.,20,"9,000.00",0,0.00,0,0.00,0,0.00,0,0.00,20,"9,000.00"
"MEGA CALCIUM(N/F) BLISTER TABS BLISTER",PHARMACY,Pcs.,21,"31,626.10",10,"15,350.00",0,0.00,18,"37,800.00",0,0.00,13,"19,829.35"
"MEGA CALCUIM x60 JAR N/F",PHARMACY,Pcs.,2,"19,777.50",2,"19,600.00",0,0.00,1,"13,300.00",0,0.00,3,"29,533.12"
"MEGA XXL CHOCOLATE WAFFERS",CHOCOLATES,Pcs.,11,"4,125.00",0,0.00,0,0.00,0,0.00,0,0.00,11,"4,125.00"
"MEKO INHALER   X 6 BLISTER",System,Pcs.,25,"7,644.28",0,0.00,0,0.00,0,0.00,0,0.00,25,"7,644.28"
"MELATONIN (P/P) TABS 3MG X 120 JAR",System,Pcs.,-2,"-7,658.00",0,0.00,0,0.00,0,0.00,0,0.00,-2,"-7,658.00"
"MELATONIN 10MG X60 N/F",PHARMACY,Pcs.,0,0.00,1,"13,200.00",0,0.00,0,0.00,0,0.00,1,"13,200.00"
"MELATONIN 5MG (N/FIELD) X 60",PHARMACY,Pcs.,5,"42,149.40",2,"16,800.00",0,0.00,2,"23,400.00",0,0.00,5,"42,089.64"
"MELATONIN 5MG (P/P) X 60 JAR",System,Pcs.,5,"21,930.50",0,0.00,0,0.00,0,0.00,0,0.00,5,"21,930.50"
"MELOCAP TABS 15MG PACK",PHARMACY,Pcs.,3,"3,573.00",5,"6,000.00",0,0.00,2,"3,500.00",0,0.00,6,"7,184.57"
"MELOCAP TABS 7.5MG PACK",System,Pcs.,2,"1,884.00",0,0.00,0,0.00,1,"1,300.00",0,0.00,1,942.00
"MELOTEARS EYE DROPS 10ML",PHARMACY,Pcs.,12,"29,788.44",5,"12,775.00",0,0.00,5,"17,400.00",0,0.00,12,"30,060.80"
"MELOXICAM X 10 (ONIFAM PHARM LT PACK",System,Pcs.,6,0.00,0,0.00,0,0.00,0,0.00,0,0.00,6,0.00
"MEMORY CODE X 60 JAR",PHARMACY,Pcs.,2,"37,123.34",0,0.00,0,0.00,0,0.00,0,0.00,2,"37,123.34"
"MENOPACE PLUS X 56 TABS PACK",PHARMACY,Pcs.,1,"19,392.00",0,0.00,0,0.00,0,0.00,0,0.00,1,"19,392.00"
"MENOPACE TABS X 30 PACK",PHARMACY,Pcs.,0,0.00,2,"21,300.00",0,0.00,2,"29,000.00",0,0.00,0,0.00
"MENTHODEX SYR 100MLS",PHARMACY,Pcs.,12,"57,280.61",0,0.00,0,0.00,5,"35,500.00",0,0.00,7,"33,413.70"
"MENTHODEX SYR 200ML BOTTLE",PHARMACY,Pcs.,4,"26,708.06",3,"22,500.00",0,0.00,5,"51,800.00",0,0.00,2,"14,059.45"
"MENTOS CHEWY DRAGES/GUM/SWEET 3/100",CHOCOLATES,Pcs.,75,"5,025.00",0,0.00,0,0.00,0,0.00,0,0.00,75,"5,025.00"
"MENTOS GUM JAR B/S",CHOCOLATES,Pcs.,34,"95,582.19",36,"102,000.00",0,0.00,16,"54,400.00",0,0.00,54,"152,522.79"
"MENTOS GUM JAR S/S FOREIGN",PHARMACY,Pcs.,35,"75,833.28",0,0.00,0,0.00,25,"65,000.00",0,0.00,10,"21,666.65"
"MENTOS GUM JAR S/S NIG",CHOCOLATES,Pcs.,34,"60,971.96",24,"44,000.00",0,0.00,10,"22,000.00",0,0.00,48,"86,887.32"
"MENTOS GUM SACHET",FOOD ITEMS,Pcs.,50,"14,568.75",36,"10,500.00",0,0.00,16,"6,400.00",0,0.00,70,"20,404.88"
"MENTOS GUM SMALLEST JAR",PHARMACY,Pcs.,39,"38,805.00",30,"24,000.00",0,0.00,28,"28,000.00",0,0.00,41,"37,318.84"
"MENTOS LONG PCS",CHOCOLATES,Pcs.,-3,"-1,200.00",0,0.00,0,0.00,0,0.00,0,0.00,-3,"-1,200.00"
"MEPIRYL TABS 2MG X 30 BLISTER",PHARMACY,Pcs.,4,"2,533.33",30,"19,827.80",0,0.00,32,"28,800.00",0,0.00,2,"1,298.20"
"MEPIRYL TABS 4MG X 30 BLISTER",PHARMACY,Pcs.,6,"6,426.21",30,"32,650.00",0,0.00,1,"1,500.00",0,0.00,35,"38,005.18"
"MEPRASIL  20MG CAP X 14 PACK",PHARMACY,Pcs.,28,"30,771.02",70,"81,000.00",0,0.00,44,"72,000.00",0,0.00,54,"61,994.75"
"MEROPENEM INJ CLARION",PHARMACY,Pcs.,3,"18,000.00",0,0.00,0,0.00,0,0.00,0,0.00,3,"18,000.00"
"MESOFIN TABLET",PHARMACY,Pcs.,1,300.00,0,0.00,0,0.00,0,0.00,0,0.00,1,300.00
"MESO-KET SHAMPOO 2% 120ML",PHARMACY,Pcs.,2,"8,000.00",2,"14,560.00",0,0.00,0,0.00,0,0.00,4,"22,560.00"
"METAP XL 25MG BLISTER METOPROLOL",PHARMACY,Pcs.,6,"4,600.00",0,0.00,0,0.00,0,0.00,0,0.00,6,"4,600.00"
"METAP XL 50MG BLISTER METOPROLOL",PHARMACY,Pcs.,6,"5,996.00",0,0.00,0,0.00,3,"5,400.00",0,0.00,3,"2,998.00"
"METAPRIM TAB BLISTER",PHARMACY,Pcs.,41,"2,423.92",0,0.00,0,0.00,1,200.00,0,0.00,40,"2,364.80"
"METFORMIN (SANDOZ)  TABS 500MG BLISTER",PHARMACY,Pcs.,-5,-972.22,0,0.00,0,0.00,0,0.00,0,0.00,-5,-972.22
"METFORMIN ACCESS 1000MG TAB.",PHARMACY,Pcs.,-1,-262.50,0,0.00,0,0.00,0,0.00,0,0.00,-1,-262.50
"METFORMIN TABS 500MG LIFEBACK BLISTER",PHARMACY,Pcs.,74,"19,909.58",60,"16,500.00",0,0.00,50,"20,000.00",0,0.00,84,"22,824.34"
"METHOCARBAMOL 500MG PACK",PHARMACY,Pcs.,6,"5,142.87",0,0.00,0,0.00,0,0.00,0,0.00,6,"5,142.87"
"METHYLATED SPIRIT (MOKO)   200M BOTTLE",PHARMACY,Pcs.,63,"67,477.20",48,"52,800.00",0,0.00,38,"60,800.00",0,0.00,73,"79,289.32"
"METHYLATED SPIRIT (ROYAL PRIEST BOTTLE",System,Pcs.,23,"8,050.00",0,0.00,0,0.00,0,0.00,0,0.00,23,"8,050.00"
"METHYLATED SPIRIT 100ML LAONXY 100MLBO",PHARMACY,Pcs.,11,"2,200.00",0,0.00,0,0.00,0,0.00,0,0.00,11,"2,200.00"
"METHYLATED SPIRIT 100ML QUEEN 100ML",PHARMACY,Pcs.,13,"2,580.20",0,0.00,0,0.00,1,400.00,0,0.00,12,"2,381.72"
"METHYLATED SPIRIT 100ML QUICK AID",PHARMACY,Pcs.,93,"16,702.82",0,0.00,0,0.00,7,"2,100.00",0,0.00,86,"15,445.62"
"METHYLATED SPIRIT 200ML (APPACO) BOTTLE",System,Pcs.,16,"7,200.00",0,0.00,0,0.00,6,"4,200.00",0,0.00,10,"4,500.00"
"METHYLATED SPIRIT 200ML(GALWAYS BOTTLE",PHARMACY,Pcs.,2,"1,817.77",0,0.00,0,0.00,2,"2,600.00",0,0.00,0,0.00
"METHYLATED SPIRIT(LA ONYI)  200 BOTTLE",PHARMACY,Pcs.,1,288.14,0,0.00,0,0.00,0,0.00,0,0.00,1,288.14
"METHYLDOPA (KETHA)",PHARMACY,Pcs.,47,"15,510.00",0,0.00,0,0.00,0,0.00,0,0.00,47,"15,510.00"
"METOCLOPRAMIDE (UNBRA) TAB BLISTER",System,Pcs.,-20,-400.00,0,0.00,0,0.00,0,0.00,0,0.00,-20,-400.00
"METOCLOPRAMIDE (UNBRANDED)  INJ AMPOULES",PHARMACY,Pcs.,39,"1,705.41",0,0.00,0,0.00,3,210.00,0,0.00,36,"1,574.22"
"METOZ TABS 5MG X 100 BLISTER",System,Pcs.,5,"26,416.67",0,0.00,0,0.00,0,0.00,0,0.00,5,"26,416.67"
"METRONE TAB 400MG FIDSON",PHARMACY,Pcs.,130,"18,550.00",0,0.00,0,0.00,63,"18,900.00",0,0.00,67,"9,560.42"
"METRONIDAZOLE  IV INFUSION 100M BOTTLE",PHARMACY,Pcs.,70,"30,794.20",40,"18,000.00",0,0.00,43,"27,950.00",0,0.00,67,"29,724.69"
"METROTAB 400MG BLISTER",PHARMACY,Pcs.,-22,"-4,540.00",0,0.00,0,0.00,1,200.00,0,0.00,-23,"-4,740.00"
"MICARDIS TABS 80MG X 28 BLISTER",System,Pcs.,4,"13,524.00",0,0.00,0,0.00,0,0.00,0,0.00,4,"13,524.00"
"MICH CHOCOLATE",CHOCOLATES,Pcs.,3,687.50,0,0.00,0,0.00,0,0.00,0,0.00,3,687.50
"MICOZOL PLUS TABS  X 7 PACK",System,Pcs.,-1,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-1,0.00
"MICRO POST EYEDROP PACK",PHARMACY,Pcs.,-1,"-7,700.00",2,"11,600.00",0,0.00,0,0.00,0,0.00,1,"5,800.00"
"MICROGYNON( ORAL CONTRACEPT) TA BLISTER",PHARMACY,Pcs.,-2,0.00,0,0.00,0,0.00,0,0.00,0,0.00,-2,0.00
"MICROLAX SUPP. X1PCS",PHARMACY,Pcs.,38,"8,835.00",0,0.00,0,0.00,0,0.00,0,0.00,38,"8,835.00"
"MICROMOX EYEDROP PCS",PHARMACY,Pcs.,-1,"-1,125.39",0,0.00,0,0.00,0,0.00,0,0.00,-1,"-1,125.39"
"MICROSOL EYEDROP",PHARMACY,Pcs.,1,"2,896.66",6,"20,490.00",0,0.00,4,"18,400.00",0,0.00,3,"10,158.61"
"MIDOZOL EYE DROP 5ML",PHARMACY,Pcs.,1,"4,475.00",0,0.00,0,0.00,1,"6,100.00",0,0.00,0,0.00
"MIFEPAK TABS PACK",PHARMACY,Pcs.,6,"23,250.00",0,0.00,0,0.00,3,"21,000.00",0,0.00,3,"11,625.00"
"MIKOPAN 10MG SACHET",PHARMACY,Pcs.,14,"2,100.00",0,0.00,0,0.00,0,0.00,0,0.00,14,"2,100.00"
"MILK TEETH PASTE 50ML X 1 TUBE",HOUSEHOLD ITEMS,Pcs.,16,"9,333.29",24,"14,000.00",0,0.00,13,"9,100.00",0,0.00,27,"15,749.99"
"MILO REFILL 400G",FOOD ITEMS,Pcs.,34,"112,271.92",0,0.00,0,0.00,1,"3,400.00",0,0.00,33,"108,969.80"
"MILO REFILL 800G",FOOD ITEMS,Pcs.,26,"150,697.54",0,0.00,0,0.00,0,0.00,0,0.00,26,"150,697.54"
"MILO TIN 400G TIN",FOOD ITEMS,Pcs.,24,"156,153.24",0,0.00,0,0.00,0,0.00,0,0.00,24,"156,153.24"
"MIM CAPS PACK",PHARMACY,Pcs.,19,"24,463.97",0,0.00,0,0.00,6,"10,800.00",0,0.00,13,"16,738.49"
"MIM SYR 100ML X 1 BOTTLE",System,Pcs.,16,"10,733.61",0,0.00,0,0.00,3,"3,000.00",0,0.00,13,"8,721.06"
